year	terms_of_trade
1980	86.5394640853958
1981	83.202130112363
1982	86.6433068270528
1983	87.8290311415711
1984	88.0619689297436
1985	88.7270190562959
1986	100.368111860755
1987	103.142171232699
1988	101.817735865798
1989	101.472105228759
1990	106.167650052789
1991	110.389106689646
1992	109.238766880737
1993	104.338322237208
1994	102.996911177327
1995	99.9988801164359
1996	102.54645703099
1997	103.00342163954
1998	105.908131667123
1999	105.793976627397
2000	100.038434601185
2001	101.592184557585
2002	103.133862430042
