Date,Value
2024-12-31,0.047
2023-12-31,-0.001
2022-12-31,-0.071
2021-12-31,-0.22
2020-12-31,-0.476
2019-12-31,-1.047
2018-12-31,-0.919
2017-12-31,-1.457
2016-12-31,-2.661
2015-12-31,-3.43
2014-12-31,-4.1
2013-12-31,-4.07
2012-12-31,-2.79
2011-12-31,-0.458
2010-12-31,-1.31
2009-12-31,-3.17
2008-12-31,1.78
2007-12-31,2.69
2006-12-31,1.48
2005-12-31,0.003
2004-12-31,-0.319
2003-12-31,-1.08
2002-12-31,-0.4
2001-12-31,0.358
2000-12-31,-0.108
1999-12-31,-2.16
1998-12-31,-2.2
1997-12-31,-2.25
1996-12-31,-2.44
1995-12-31,-2.09
1994-12-31,-2.62
1993-12-31,-3.03
1992-12-31,-0.699
1991-12-31,0.161
1990-12-31,0.483
1989-12-31,0.515
1988-12-31,-0.444
1987-12-31,-1.96
1986-12-31,-2.47
1985-12-31,-2.66
1984-12-31,-2.86
1983-12-31,-3.552
1982-12-31,-2.35
1981-12-31,-0.922
1980-12-31,12.396
